seq,t,group,kind,ball,detail
0,0.182092,1,slide_to_roll,0,
1,0.325069,2,ball_ball,0,1
2,0.325069,3,kick,1,Landing
3,0.328703,4,kick,1,Landing
4,0.330884,5,kick,1,Landing
5,0.331126,6,kick,0,Landing
6,0.332192,7,kick,1,Landing
7,0.332977,8,kick,1,Landing
8,0.333449,9,kick,1,Landing
9,0.333731,10,kick,1,Landing
10,0.333901,11,kick,1,Landing
11,0.334002,12,kick,1,Landing
12,0.334063,13,kick,1,Landing
13,0.334100,14,kick,1,Landing
14,0.334122,15,kick,1,Landing
15,0.334135,16,kick,1,Landing
16,0.334143,17,kick,1,Landing
17,0.334148,18,kick,1,Landing
18,0.334151,19,kick,1,Landing
19,0.334152,20,kick,1,Landing
20,0.334154,21,kick,1,Landing
21,0.334154,22,kick,1,Landing
22,0.334155,23,kick,1,Landing
23,0.334155,24,kick,1,Landing
24,0.334155,25,kick,1,Landing
25,0.334155,26,kick,1,Landing
26,0.334155,27,kick,1,Landing
27,0.334155,28,kick,1,Landing
28,0.334155,29,kick,1,Landing
29,0.334155,30,kick,1,Landing
30,0.334155,31,kick,1,Landing
31,0.334155,32,kick,1,Landing
32,0.334155,33,kick,1,Landing
33,0.334155,34,kick,1,Landing
34,0.334155,35,kick,1,Landing
35,0.334155,36,kick,1,Landing
36,0.334761,38,kick,0,Landing
37,0.336941,39,kick,0,Landing
38,0.338250,40,kick,0,Landing
39,0.339035,41,kick,0,Landing
40,0.339506,42,kick,0,Landing
41,0.339789,43,kick,0,Landing
42,0.339958,44,kick,0,Landing
43,0.340060,45,kick,0,Landing
44,0.340121,46,kick,0,Landing
45,0.340158,47,kick,0,Landing
46,0.340180,48,kick,0,Landing
47,0.340193,49,kick,0,Landing
48,0.340201,50,kick,0,Landing
49,0.340205,51,kick,0,Landing
50,0.340208,52,kick,0,Landing
51,0.340210,53,kick,0,Landing
52,0.340211,54,kick,0,Landing
53,0.340212,55,kick,0,Landing
54,0.340212,56,kick,0,Landing
55,0.340212,57,kick,0,Landing
56,0.340212,58,kick,0,Landing
57,0.340212,59,kick,0,Landing
58,0.340212,60,kick,0,Landing
59,0.340212,61,kick,0,Landing
60,0.340212,62,kick,0,Landing
61,0.340212,63,kick,0,Landing
62,0.340212,64,kick,0,Landing
63,0.340212,65,kick,0,Landing
64,0.340213,66,kick,0,Landing
65,0.340213,67,kick,0,Landing
66,0.340213,68,kick,0,Landing
67,0.340213,69,kick,0,Landing
68,0.603896,71,rail_contact,1,right_long
69,0.607785,72,slide_to_roll,0,
70,0.635930,73,kick,1,Landing
71,0.655150,74,kick,1,Landing
72,0.666682,75,kick,1,Landing
73,0.673601,76,kick,1,Landing
74,0.677752,77,kick,1,Landing
75,0.680243,78,kick,1,Landing
76,0.681738,79,kick,1,Landing
77,0.682635,80,kick,1,Landing
78,0.683173,81,kick,1,Landing
79,0.683495,82,kick,1,Landing
80,0.683689,83,kick,1,Landing
81,0.683805,84,kick,1,Landing
82,0.683875,85,kick,1,Landing
83,0.683917,86,kick,1,Landing
84,0.683942,87,kick,1,Landing
85,0.683957,88,kick,1,Landing
86,0.683966,89,kick,1,Landing
87,0.683972,90,kick,1,Landing
88,0.683975,91,kick,1,Landing
89,0.683977,92,kick,1,Landing
90,0.683978,93,kick,1,Landing
91,0.683979,94,kick,1,Landing
92,0.683979,95,kick,1,Landing
93,0.683979,96,kick,1,Landing
94,0.683979,97,kick,1,Landing
95,0.683980,98,kick,1,Landing
96,0.683980,99,kick,1,Landing
97,0.683980,100,kick,1,Landing
98,0.683980,101,kick,1,Landing
99,0.683980,102,kick,1,Landing
100,0.683980,103,kick,1,Landing
101,0.683980,104,kick,1,Landing
102,0.683980,105,kick,1,Landing
103,0.683980,106,kick,1,Landing
104,0.683980,107,kick,1,Landing
105,0.683980,108,kick,1,Landing
106,0.919962,110,slide_to_roll,1,
107,1.446704,111,rail_contact,0,foot_short
108,1.473938,112,kick,0,Landing
109,1.490279,113,kick,0,Landing
110,1.500084,114,kick,0,Landing
111,1.505967,115,kick,0,Landing
112,1.509496,116,kick,0,Landing
113,1.511614,117,kick,0,Landing
114,1.512885,118,kick,0,Landing
115,1.513647,119,kick,0,Landing
116,1.514104,120,kick,0,Landing
117,1.514379,121,kick,0,Landing
118,1.514544,122,kick,0,Landing
119,1.514642,123,kick,0,Landing
120,1.514702,124,kick,0,Landing
121,1.514737,125,kick,0,Landing
122,1.514759,126,kick,0,Landing
123,1.514771,127,kick,0,Landing
124,1.514779,128,kick,0,Landing
125,1.514784,129,kick,0,Landing
126,1.514786,130,kick,0,Landing
127,1.514788,131,kick,0,Landing
128,1.514789,132,kick,0,Landing
129,1.514790,133,kick,0,Landing
130,1.514790,134,kick,0,Landing
131,1.514790,135,kick,0,Landing
132,1.514790,136,kick,0,Landing
133,1.514791,137,kick,0,Landing
134,1.514791,138,kick,0,Landing
135,1.514791,139,kick,0,Landing
