t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.00000,0,-400.000,-300.000,28.575,2500.0,Sliding
0.00000,1,200.000,200.000,28.575,0.0,Stationary
0.00500,0,-390.192,-292.290,28.575,2490.2,Sliding
0.00500,1,200.000,200.000,28.575,0.0,Stationary
0.01000,0,-380.422,-284.611,28.575,2480.4,Sliding
0.01000,1,200.000,200.000,28.575,0.0,Stationary
0.01500,0,-370.691,-276.962,28.575,2470.6,Sliding
0.01500,1,200.000,200.000,28.575,0.0,Stationary
0.02000,0,-360.999,-269.343,28.575,2460.8,Sliding
0.02000,1,200.000,200.000,28.575,0.0,Stationary
0.02500,0,-351.345,-261.755,28.575,2451.0,Sliding
0.02500,1,200.000,200.000,28.575,0.0,Stationary
0.03000,0,-341.729,-254.197,28.575,2441.2,Sliding
0.03000,1,200.000,200.000,28.575,0.0,Stationary
0.03500,0,-332.153,-246.669,28.575,2431.4,Sliding
0.03500,1,200.000,200.000,28.575,0.0,Stationary
0.04000,0,-322.614,-239.172,28.575,2421.5,Sliding
0.04000,1,200.000,200.000,28.575,0.0,Stationary
0.04500,0,-313.114,-231.704,28.575,2411.7,Sliding
0.04500,1,200.000,200.000,28.575,0.0,Stationary
0.05000,0,-303.653,-224.268,28.575,2401.9,Sliding
0.05000,1,200.000,200.000,28.575,0.0,Stationary
0.05500,0,-294.231,-216.861,28.575,2392.1,Sliding
0.05500,1,200.000,200.000,28.575,0.0,Stationary
0.06000,0,-284.847,-209.485,28.575,2382.3,Sliding
0.06000,1,200.000,200.000,28.575,0.0,Stationary
0.06500,0,-275.501,-202.139,28.575,2372.5,Sliding
0.06500,1,200.000,200.000,28.575,0.0,Stationary
0.07000,0,-266.194,-194.823,28.575,2362.7,Sliding
0.07000,1,200.000,200.000,28.575,0.0,Stationary
0.07500,0,-256.926,-187.538,28.575,2352.9,Sliding
0.07500,1,200.000,200.000,28.575,0.0,Stationary
0.08000,0,-247.696,-180.283,28.575,2343.1,Sliding
0.08000,1,200.000,200.000,28.575,0.0,Stationary
0.08500,0,-238.504,-173.058,28.575,2333.3,Sliding
0.08500,1,200.000,200.000,28.575,0.0,Stationary
0.09000,0,-229.351,-165.863,28.575,2323.5,Sliding
0.09000,1,200.000,200.000,28.575,0.0,Stationary
0.09500,0,-220.237,-158.699,28.575,2313.7,Sliding
0.09500,1,200.000,200.000,28.575,0.0,Stationary
0.10000,0,-211.162,-151.565,28.575,2303.9,Sliding
0.10000,1,200.000,200.000,28.575,0.0,Stationary
0.10500,0,-202.124,-144.462,28.575,2294.1,Sliding
0.10500,1,200.000,200.000,28.575,0.0,Stationary
0.11000,0,-193.126,-137.388,28.575,2284.3,Sliding
0.11000,1,200.000,200.000,28.575,0.0,Stationary
0.11500,0,-184.166,-130.345,28.575,2274.4,Sliding
0.11500,1,200.000,200.000,28.575,0.0,Stationary
0.12000,0,-175.244,-123.333,28.575,2264.6,Sliding
0.12000,1,200.000,200.000,28.575,0.0,Stationary
0.12500,0,-166.361,-116.350,28.575,2254.8,Sliding
0.12500,1,200.000,200.000,28.575,0.0,Stationary
0.13000,0,-157.517,-109.398,28.575,2245.0,Sliding
0.13000,1,200.000,200.000,28.575,0.0,Stationary
0.13500,0,-148.711,-102.477,28.575,2235.2,Sliding
0.13500,1,200.000,200.000,28.575,0.0,Stationary
0.14000,0,-139.944,-95.585,28.575,2225.4,Sliding
0.14000,1,200.000,200.000,28.575,0.0,Stationary
0.14500,0,-131.215,-88.724,28.575,2215.6,Sliding
0.14500,1,200.000,200.000,28.575,0.0,Stationary
0.15000,0,-122.525,-81.893,28.575,2205.8,Sliding
0.15000,1,200.000,200.000,28.575,0.0,Stationary
