t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.00000,0,-800.000,0.000,28.575,6200.0,Sliding
0.00000,1,635.000,0.000,28.575,0.0,Stationary
0.00000,2,783.480,-28.575,28.575,0.0,Stationary
0.00000,3,733.987,57.150,28.575,0.0,Stationary
0.00000,4,684.493,-28.575,28.575,0.0,Stationary
0.00000,5,832.973,0.000,28.575,0.0,Stationary
0.00000,6,832.973,57.150,28.575,0.0,Stationary
0.00000,7,832.973,114.300,28.575,0.0,Stationary
0.00000,8,733.987,0.000,28.575,0.0,Stationary
0.00000,9,684.493,28.575,28.575,0.0,Stationary
0.00000,10,832.973,-57.150,28.575,0.0,Stationary
0.00000,11,783.480,-85.725,28.575,0.0,Stationary
0.00000,12,783.480,85.725,28.575,0.0,Stationary
0.00000,13,783.480,28.575,28.575,0.0,Stationary
0.00000,14,832.973,-114.300,28.575,0.0,Stationary
0.00000,15,733.987,-57.150,28.575,0.0,Stationary
0.00500,0,-769.025,0.000,28.575,6190.2,Sliding
0.00500,1,635.000,0.000,28.575,0.0,Stationary
0.00500,2,783.480,-28.575,28.575,0.0,Stationary
0.00500,3,733.987,57.150,28.575,0.0,Stationary
0.00500,4,684.493,-28.575,28.575,0.0,Stationary
0.00500,5,832.973,0.000,28.575,0.0,Stationary
0.00500,6,832.973,57.150,28.575,0.0,Stationary
0.00500,7,832.973,114.300,28.575,0.0,Stationary
0.00500,8,733.987,0.000,28.575,0.0,Stationary
0.00500,9,684.493,28.575,28.575,0.0,Stationary
0.00500,10,832.973,-57.150,28.575,0.0,Stationary
0.00500,11,783.480,-85.725,28.575,0.0,Stationary
0.00500,12,783.480,85.725,28.575,0.0,Stationary
0.00500,13,783.480,28.575,28.575,0.0,Stationary
0.00500,14,832.973,-114.300,28.575,0.0,Stationary
0.00500,15,733.987,-57.150,28.575,0.0,Stationary
0.01000,0,-738.098,0.000,28.575,6180.4,Sliding
0.01000,1,635.000,0.000,28.575,0.0,Stationary
0.01000,2,783.480,-28.575,28.575,0.0,Stationary
0.01000,3,733.987,57.150,28.575,0.0,Stationary
0.01000,4,684.493,-28.575,28.575,0.0,Stationary
0.01000,5,832.973,0.000,28.575,0.0,Stationary
0.01000,6,832.973,57.150,28.575,0.0,Stationary
0.01000,7,832.973,114.300,28.575,0.0,Stationary
0.01000,8,733.987,0.000,28.575,0.0,Stationary
0.01000,9,684.493,28.575,28.575,0.0,Stationary
0.01000,10,832.973,-57.150,28.575,0.0,Stationary
0.01000,11,783.480,-85.725,28.575,0.0,Stationary
0.01000,12,783.480,85.725,28.575,0.0,Stationary
0.01000,13,783.480,28.575,28.575,0.0,Stationary
0.01000,14,832.973,-114.300,28.575,0.0,Stationary
0.01000,15,733.987,-57.150,28.575,0.0,Stationary
0.01500,0,-707.221,0.000,28.575,6170.6,Sliding
0.01500,1,635.000,0.000,28.575,0.0,Stationary
0.01500,2,783.480,-28.575,28.575,0.0,Stationary
0.01500,3,733.987,57.150,28.575,0.0,Stationary
0.01500,4,684.493,-28.575,28.575,0.0,Stationary
0.01500,5,832.973,0.000,28.575,0.0,Stationary
0.01500,6,832.973,57.150,28.575,0.0,Stationary
0.01500,7,832.973,114.300,28.575,0.0,Stationary
0.01500,8,733.987,0.000,28.575,0.0,Stationary
0.01500,9,684.493,28.575,28.575,0.0,Stationary
0.01500,10,832.973,-57.150,28.575,0.0,Stationary
0.01500,11,783.480,-85.725,28.575,0.0,Stationary
0.01500,12,783.480,85.725,28.575,0.0,Stationary
0.01500,13,783.480,28.575,28.575,0.0,Stationary
0.01500,14,832.973,-114.300,28.575,0.0,Stationary
0.01500,15,733.987,-57.150,28.575,0.0,Stationary
0.02000,0,-676.392,0.000,28.575,6160.8,Sliding
0.02000,1,635.000,0.000,28.575,0.0,Stationary
0.02000,2,783.480,-28.575,28.575,0.0,Stationary
0.02000,3,733.987,57.150,28.575,0.0,Stationary
0.02000,4,684.493,-28.575,28.575,0.0,Stationary
0.02000,5,832.973,0.000,28.575,0.0,Stationary
0.02000,6,832.973,57.150,28.575,0.0,Stationary
0.02000,7,832.973,114.300,28.575,0.0,Stationary
0.02000,8,733.987,0.000,28.575,0.0,Stationary
0.02000,9,684.493,28.575,28.575,0.0,Stationary
0.02000,10,832.973,-57.150,28.575,0.0,Stationary
0.02000,11,783.480,-85.725,28.575,0.0,Stationary
0.02000,12,783.480,85.725,28.575,0.0,Stationary
0.02000,13,783.480,28.575,28.575,0.0,Stationary
0.02000,14,832.973,-114.300,28.575,0.0,Stationary
0.02000,15,733.987,-57.150,28.575,0.0,Stationary
0.02500,0,-645.613,0.000,28.575,6151.0,Sliding
0.02500,1,635.000,0.000,28.575,0.0,Stationary
0.02500,2,783.480,-28.575,28.575,0.0,Stationary
0.02500,3,733.987,57.150,28.575,0.0,Stationary
0.02500,4,684.493,-28.575,28.575,0.0,Stationary
0.02500,5,832.973,0.000,28.575,0.0,Stationary
0.02500,6,832.973,57.150,28.575,0.0,Stationary
0.02500,7,832.973,114.300,28.575,0.0,Stationary
0.02500,8,733.987,0.000,28.575,0.0,Stationary
0.02500,9,684.493,28.575,28.575,0.0,Stationary
0.02500,10,832.973,-57.150,28.575,0.0,Stationary
0.02500,11,783.480,-85.725,28.575,0.0,Stationary
0.02500,12,783.480,85.725,28.575,0.0,Stationary
0.02500,13,783.480,28.575,28.575,0.0,Stationary
0.02500,14,832.973,-114.300,28.575,0.0,Stationary
0.02500,15,733.987,-57.150,28.575,0.0,Stationary
0.03000,0,-614.883,0.000,28.575,6141.2,Sliding
0.03000,1,635.000,0.000,28.575,0.0,Stationary
0.03000,2,783.480,-28.575,28.575,0.0,Stationary
0.03000,3,733.987,57.150,28.575,0.0,Stationary
0.03000,4,684.493,-28.575,28.575,0.0,Stationary
0.03000,5,832.973,0.000,28.575,0.0,Stationary
0.03000,6,832.973,57.150,28.575,0.0,Stationary
0.03000,7,832.973,114.300,28.575,0.0,Stationary
0.03000,8,733.987,0.000,28.575,0.0,Stationary
0.03000,9,684.493,28.575,28.575,0.0,Stationary
0.03000,10,832.973,-57.150,28.575,0.0,Stationary
0.03000,11,783.480,-85.725,28.575,0.0,Stationary
0.03000,12,783.480,85.725,28.575,0.0,Stationary
0.03000,13,783.480,28.575,28.575,0.0,Stationary
0.03000,14,832.973,-114.300,28.575,0.0,Stationary
0.03000,15,733.987,-57.150,28.575,0.0,Stationary
0.03500,0,-584.201,0.000,28.575,6131.4,Sliding
0.03500,1,635.000,0.000,28.575,0.0,Stationary
0.03500,2,783.480,-28.575,28.575,0.0,Stationary
0.03500,3,733.987,57.150,28.575,0.0,Stationary
0.03500,4,684.493,-28.575,28.575,0.0,Stationary
0.03500,5,832.973,0.000,28.575,0.0,Stationary
0.03500,6,832.973,57.150,28.575,0.0,Stationary
0.03500,7,832.973,114.300,28.575,0.0,Stationary
0.03500,8,733.987,0.000,28.575,0.0,Stationary
0.03500,9,684.493,28.575,28.575,0.0,Stationary
0.03500,10,832.973,-57.150,28.575,0.0,Stationary
