seq,t,group,kind,ball,detail
0,0.081941,1,slide_to_roll,0,
1,0.585528,2,ball_ball,0,1
2,0.585528,3,kick,1,Landing
3,0.591144,4,kick,1,Landing
4,0.594514,5,kick,1,Landing
5,0.594888,6,kick,0,Landing
6,0.596536,7,kick,1,Landing
7,0.597749,8,kick,1,Landing
8,0.598477,9,kick,1,Landing
9,0.598914,10,kick,1,Landing
10,0.599176,11,kick,1,Landing
11,0.599333,12,kick,1,Landing
12,0.599427,13,kick,1,Landing
13,0.599484,14,kick,1,Landing
14,0.599518,15,kick,1,Landing
15,0.599538,16,kick,1,Landing
16,0.599550,17,kick,1,Landing
17,0.599558,18,kick,1,Landing
18,0.599562,19,kick,1,Landing
19,0.599565,20,kick,1,Landing
20,0.599566,21,kick,1,Landing
21,0.599567,22,kick,1,Landing
22,0.599568,23,kick,1,Landing
23,0.599568,24,kick,1,Landing
24,0.599568,25,kick,1,Landing
25,0.599569,26,kick,1,Landing
26,0.599569,27,kick,1,Landing
27,0.599569,28,kick,1,Landing
28,0.599569,29,kick,1,Landing
29,0.599569,30,kick,1,Landing
30,0.599569,31,kick,1,Landing
31,0.599569,32,kick,1,Landing
32,0.599569,33,kick,1,Landing
33,0.599569,34,kick,1,Landing
34,0.599569,35,kick,1,Landing
35,0.599569,36,kick,1,Landing
36,0.599569,37,kick,1,Landing
37,0.600505,39,kick,0,Landing
38,0.603875,40,kick,0,Landing
39,0.605897,41,kick,0,Landing
40,0.607110,42,kick,0,Landing
41,0.607838,43,kick,0,Landing
42,0.608274,44,kick,0,Landing
43,0.608536,45,kick,0,Landing
44,0.608694,46,kick,0,Landing
45,0.608788,47,kick,0,Landing
46,0.608844,48,kick,0,Landing
47,0.608878,49,kick,0,Landing
48,0.608899,50,kick,0,Landing
49,0.608911,51,kick,0,Landing
50,0.608918,52,kick,0,Landing
51,0.608923,53,kick,0,Landing
52,0.608925,54,kick,0,Landing
53,0.608927,55,kick,0,Landing
54,0.608928,56,kick,0,Landing
55,0.608929,57,kick,0,Landing
56,0.608929,58,kick,0,Landing
57,0.608929,59,kick,0,Landing
58,0.608929,60,kick,0,Landing
59,0.608929,61,kick,0,Landing
60,0.608929,62,kick,0,Landing
61,0.608929,63,kick,0,Landing
62,0.608929,64,kick,0,Landing
63,0.608929,65,kick,0,Landing
64,0.608929,66,kick,0,Landing
65,0.608929,67,kick,0,Landing
66,0.608929,68,kick,0,Landing
67,0.608929,69,kick,0,Landing
68,0.608929,70,kick,0,Landing
69,0.608929,71,kick,0,Landing
70,0.775421,73,slide_to_roll,0,
71,0.799491,74,slide_to_roll,1,
72,1.793803,75,rail_contact,1,foot_short
73,1.816166,76,kick,1,Landing
74,1.829584,77,kick,1,Landing
75,1.837635,78,kick,1,Landing
76,1.842466,79,kick,1,Landing
77,1.845364,80,kick,1,Landing
78,1.847103,81,kick,1,Landing
79,1.848146,82,kick,1,Landing
80,1.848772,83,kick,1,Landing
81,1.849148,84,kick,1,Landing
82,1.849373,85,kick,1,Landing
83,1.849509,86,kick,1,Landing
84,1.849590,87,kick,1,Landing
85,1.849638,88,kick,1,Landing
86,1.849668,89,kick,1,Landing
87,1.849685,90,kick,1,Landing
88,1.849696,91,kick,1,Landing
89,1.849702,92,kick,1,Landing
90,1.849706,93,kick,1,Landing
91,1.849708,94,kick,1,Landing
92,1.849709,95,kick,1,Landing
93,1.849710,96,kick,1,Landing
94,1.849711,97,kick,1,Landing
95,1.849711,98,kick,1,Landing
96,1.849711,99,kick,1,Landing
97,1.849711,100,kick,1,Landing
98,1.849711,101,kick,1,Landing
99,1.849711,102,kick,1,Landing
100,1.849711,103,kick,1,Landing
101,1.849711,104,kick,1,Landing
102,1.849711,105,kick,1,Landing
103,1.849711,106,kick,1,Landing
104,1.849711,107,kick,1,Landing
105,1.849711,108,kick,1,Landing
106,1.849711,109,kick,1,Landing
107,1.849711,110,kick,1,Landing
108,1.849711,111,kick,1,Landing
109,2.005457,113,slide_to_roll,1,
110,2.817224,114,pocketed,0,p0
111,4.771411,115,roll_to_stop,1,
