t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.00000,1,200.000,28.575,28.575,0.0,Stationary
0.00500,1,200.000,28.575,28.575,0.0,Stationary
0.01000,1,200.000,28.575,28.575,0.0,Stationary
0.01500,1,200.000,28.575,28.575,0.0,Stationary
0.02000,1,200.000,28.575,28.575,0.0,Stationary
0.02500,1,200.000,28.575,28.575,0.0,Stationary
0.03000,1,200.000,28.575,28.575,0.0,Stationary
0.03500,1,200.000,28.575,28.575,0.0,Stationary
0.04000,1,200.000,28.575,28.575,0.0,Stationary
0.04500,1,200.000,28.575,28.575,0.0,Stationary
0.05000,1,200.000,28.575,28.575,0.0,Stationary
0.05500,1,200.000,28.575,28.575,0.0,Stationary
0.06000,1,200.000,28.575,28.575,0.0,Stationary
0.06500,1,200.000,28.575,28.575,0.0,Stationary
0.07000,1,200.000,28.575,28.575,0.0,Stationary
0.07500,1,200.000,28.575,28.575,0.0,Stationary
0.08000,1,200.000,28.575,28.575,0.0,Stationary
0.08500,1,200.000,28.575,28.575,0.0,Stationary
0.09000,1,200.000,28.575,28.575,0.0,Stationary
0.09500,1,200.000,28.575,28.575,0.0,Stationary
0.10000,1,200.000,28.575,28.575,0.0,Stationary
0.10500,1,200.000,28.575,28.575,0.0,Stationary
0.11000,1,200.000,28.575,28.575,0.0,Stationary
0.11500,1,200.000,28.575,28.575,0.0,Stationary
0.12000,1,200.000,28.575,28.575,0.0,Stationary
0.12500,1,200.000,28.575,28.575,0.0,Stationary
0.13000,1,200.000,28.575,28.575,0.0,Stationary
0.13500,1,200.000,28.575,28.575,0.0,Stationary
0.14000,1,200.000,28.575,28.575,0.0,Stationary
0.14500,1,200.000,28.575,28.575,0.0,Stationary
0.15000,1,200.000,28.575,28.575,0.0,Stationary
0.15500,1,200.000,28.575,28.575,0.0,Stationary
0.16000,1,200.000,28.575,28.575,0.0,Stationary
0.16500,1,200.000,28.575,28.575,0.0,Stationary
0.17000,1,200.000,28.575,28.575,0.0,Stationary
0.17500,1,200.000,28.575,28.575,0.0,Stationary
