seq,t,group,kind,ball,detail
0,0.478519,1,ball_ball,0,1
1,0.478519,2,kick,0,Landing
2,0.489945,3,kick,0,Landing
3,0.496801,4,kick,0,Landing
4,0.497563,5,kick,1,Landing
5,0.500915,6,kick,0,Landing
6,0.503383,7,kick,0,Landing
7,0.504864,8,kick,0,Landing
8,0.505753,9,kick,0,Landing
9,0.506286,10,kick,0,Landing
10,0.506606,11,kick,0,Landing
11,0.506798,12,kick,0,Landing
12,0.506913,13,kick,0,Landing
13,0.506982,14,kick,0,Landing
14,0.507023,15,kick,0,Landing
15,0.507048,16,kick,0,Landing
16,0.507063,17,kick,0,Landing
17,0.507072,18,kick,0,Landing
18,0.507077,19,kick,0,Landing
19,0.507081,20,kick,0,Landing
20,0.507083,21,kick,0,Landing
21,0.507084,22,kick,0,Landing
22,0.507084,23,kick,0,Landing
23,0.507085,24,kick,0,Landing
24,0.507085,25,kick,0,Landing
25,0.507085,26,kick,0,Landing
26,0.507085,27,kick,0,Landing
27,0.507085,28,kick,0,Landing
28,0.507085,29,kick,0,Landing
29,0.507085,30,kick,0,Landing
30,0.507085,31,kick,0,Landing
31,0.507085,32,kick,0,Landing
32,0.507085,33,kick,0,Landing
33,0.507085,34,kick,0,Landing
34,0.507085,35,kick,0,Landing
35,0.507085,36,kick,0,Landing
36,0.507085,37,kick,0,Landing
37,0.508990,39,kick,1,Landing
38,0.515846,40,kick,1,Landing
39,0.519959,41,kick,1,Landing
40,0.522428,42,kick,1,Landing
41,0.523909,43,kick,1,Landing
42,0.524797,44,kick,1,Landing
43,0.525330,45,kick,1,Landing
44,0.525650,46,kick,1,Landing
45,0.525842,47,kick,1,Landing
46,0.525957,48,kick,1,Landing
47,0.526026,49,kick,1,Landing
48,0.526068,50,kick,1,Landing
49,0.526093,51,kick,1,Landing
50,0.526107,52,kick,1,Landing
51,0.526116,53,kick,1,Landing
52,0.526122,54,kick,1,Landing
53,0.526125,55,kick,1,Landing
54,0.526127,56,kick,1,Landing
55,0.526128,57,kick,1,Landing
56,0.526129,58,kick,1,Landing
57,0.526129,59,kick,1,Landing
58,0.526129,60,kick,1,Landing
59,0.526130,61,kick,1,Landing
60,0.526130,62,kick,1,Landing
61,0.526130,63,kick,1,Landing
62,0.526130,64,kick,1,Landing
63,0.526130,65,kick,1,Landing
64,0.526130,66,kick,1,Landing
65,0.526130,67,kick,1,Landing
66,0.526130,68,kick,1,Landing
67,0.526130,69,kick,1,Landing
68,0.526130,70,kick,1,Landing
69,0.526130,71,kick,1,Landing
70,0.526130,72,kick,1,Landing
71,0.575807,74,slide_to_roll,0,
72,0.784916,75,slide_to_roll,1,
73,0.822412,76,rail_contact,1,foot_short
74,0.866076,77,kick,1,Landing
75,0.892274,78,kick,1,Landing
76,0.907993,79,kick,1,Landing
77,0.917425,80,kick,1,Landing
78,0.923083,81,kick,1,Landing
79,0.926479,82,kick,1,Landing
80,0.928516,83,kick,1,Landing
81,0.929738,84,kick,1,Landing
82,0.930472,85,kick,1,Landing
83,0.930912,86,kick,1,Landing
84,0.931176,87,kick,1,Landing
85,0.931334,88,kick,1,Landing
86,0.931429,89,kick,1,Landing
87,0.931486,90,kick,1,Landing
88,0.931520,91,kick,1,Landing
89,0.931541,92,kick,1,Landing
90,0.931553,93,kick,1,Landing
91,0.931561,94,kick,1,Landing
92,0.931565,95,kick,1,Landing
93,0.931568,96,kick,1,Landing
94,0.931569,97,kick,1,Landing
95,0.931570,98,kick,1,Landing
96,0.931571,99,kick,1,Landing
97,0.931571,100,kick,1,Landing
98,0.931571,101,kick,1,Landing
99,0.931571,102,kick,1,Landing
100,0.931572,103,kick,1,Landing
101,0.931572,104,kick,1,Landing
102,0.931572,105,kick,1,Landing
103,0.931572,106,kick,1,Landing
104,0.931572,107,kick,1,Landing
105,0.931572,108,kick,1,Landing
106,0.931572,109,kick,1,Landing
107,0.931572,110,kick,1,Landing
108,0.931572,111,kick,1,Landing
109,0.931572,112,kick,1,Landing
110,0.931572,113,kick,1,Landing
