t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.00000,0,-635.000,0.000,28.575,3000.0,Sliding
0.00000,1,635.000,0.000,28.575,0.0,Stationary
0.00500,0,-620.025,0.000,28.575,2990.2,Sliding
0.00500,1,635.000,0.000,28.575,0.0,Stationary
0.01000,0,-605.098,0.000,28.575,2980.4,Sliding
0.01000,1,635.000,0.000,28.575,0.0,Stationary
0.01500,0,-590.221,0.000,28.575,2970.6,Sliding
0.01500,1,635.000,0.000,28.575,0.0,Stationary
0.02000,0,-575.392,0.000,28.575,2960.8,Sliding
0.02000,1,635.000,0.000,28.575,0.0,Stationary
0.02500,0,-560.613,0.000,28.575,2951.0,Sliding
0.02500,1,635.000,0.000,28.575,0.0,Stationary
0.03000,0,-545.883,0.000,28.575,2941.2,Sliding
0.03000,1,635.000,0.000,28.575,0.0,Stationary
0.03500,0,-531.201,0.000,28.575,2931.4,Sliding
0.03500,1,635.000,0.000,28.575,0.0,Stationary
0.04000,0,-516.569,0.000,28.575,2921.5,Sliding
0.04000,1,635.000,0.000,28.575,0.0,Stationary
0.04500,0,-501.986,0.000,28.575,2911.7,Sliding
0.04500,1,635.000,0.000,28.575,0.0,Stationary
0.05000,0,-487.452,0.000,28.575,2901.9,Sliding
0.05000,1,635.000,0.000,28.575,0.0,Stationary
0.05500,0,-472.967,0.000,28.575,2892.1,Sliding
0.05500,1,635.000,0.000,28.575,0.0,Stationary
0.06000,0,-458.530,0.000,28.575,2882.3,Sliding
0.06000,1,635.000,0.000,28.575,0.0,Stationary
0.06500,0,-444.143,0.000,28.575,2872.5,Sliding
0.06500,1,635.000,0.000,28.575,0.0,Stationary
0.07000,0,-429.805,0.000,28.575,2862.7,Sliding
0.07000,1,635.000,0.000,28.575,0.0,Stationary
0.07500,0,-415.516,0.000,28.575,2852.9,Sliding
0.07500,1,635.000,0.000,28.575,0.0,Stationary
0.08000,0,-401.276,0.000,28.575,2843.1,Sliding
0.08000,1,635.000,0.000,28.575,0.0,Stationary
0.08500,0,-387.085,0.000,28.575,2833.3,Sliding
0.08500,1,635.000,0.000,28.575,0.0,Stationary
0.09000,0,-372.943,0.000,28.575,2823.5,Sliding
0.09000,1,635.000,0.000,28.575,0.0,Stationary
0.09500,0,-358.851,0.000,28.575,2813.7,Sliding
0.09500,1,635.000,0.000,28.575,0.0,Stationary
0.10000,0,-344.807,0.000,28.575,2803.9,Sliding
0.10000,1,635.000,0.000,28.575,0.0,Stationary
0.10500,0,-330.812,0.000,28.575,2794.1,Sliding
0.10500,1,635.000,0.000,28.575,0.0,Stationary
0.11000,0,-316.866,0.000,28.575,2784.3,Sliding
0.11000,1,635.000,0.000,28.575,0.0,Stationary
0.11500,0,-302.969,0.000,28.575,2774.4,Sliding
0.11500,1,635.000,0.000,28.575,0.0,Stationary
0.12000,0,-289.122,0.000,28.575,2764.6,Sliding
0.12000,1,635.000,0.000,28.575,0.0,Stationary
0.12500,0,-275.323,0.000,28.575,2754.8,Sliding
0.12500,1,635.000,0.000,28.575,0.0,Stationary
0.13000,0,-261.573,0.000,28.575,2745.0,Sliding
0.13000,1,635.000,0.000,28.575,0.0,Stationary
0.13500,0,-247.873,0.000,28.575,2735.2,Sliding
0.13500,1,635.000,0.000,28.575,0.0,Stationary
0.14000,0,-234.221,0.000,28.575,2725.4,Sliding
0.14000,1,635.000,0.000,28.575,0.0,Stationary
0.14500,0,-220.618,0.000,28.575,2715.6,Sliding
0.14500,1,635.000,0.000,28.575,0.0,Stationary
0.15000,0,-207.065,0.000,28.575,2705.8,Sliding
0.15000,1,635.000,0.000,28.575,0.0,Stationary
0.15500,0,-193.560,0.000,28.575,2696.0,Sliding
0.15500,1,635.000,0.000,28.575,0.0,Stationary
0.16000,0,-180.105,0.000,28.575,2686.2,Sliding
0.16000,1,635.000,0.000,28.575,0.0,Stationary
0.16500,0,-166.699,0.000,28.575,2676.4,Sliding
0.16500,1,635.000,0.000,28.575,0.0,Stationary
0.17000,0,-153.341,0.000,28.575,2666.6,Sliding
0.17000,1,635.000,0.000,28.575,0.0,Stationary
0.17500,0,-140.033,0.000,28.575,2656.8,Sliding
0.17500,1,635.000,0.000,28.575,0.0,Stationary
0.18000,0,-126.774,0.000,28.575,2647.0,Sliding
0.18000,1,635.000,0.000,28.575,0.0,Stationary
0.18500,0,-113.563,0.000,28.575,2637.2,Sliding
0.18500,1,635.000,0.000,28.575,0.0,Stationary
0.19000,0,-100.402,0.000,28.575,2627.3,Sliding
0.19000,1,635.000,0.000,28.575,0.0,Stationary
0.19500,0,-87.290,0.000,28.575,2617.5,Sliding
0.19500,1,635.000,0.000,28.575,0.0,Stationary
0.20000,0,-74.227,0.000,28.575,2607.7,Sliding
0.20000,1,635.000,0.000,28.575,0.0,Stationary
0.20500,0,-61.212,0.000,28.575,2597.9,Sliding
0.20500,1,635.000,0.000,28.575,0.0,Stationary
0.21000,0,-48.247,0.000,28.575,2588.1,Sliding
0.21000,1,635.000,0.000,28.575,0.0,Stationary
0.21500,0,-35.331,0.000,28.575,2578.3,Sliding
0.21500,1,635.000,0.000,28.575,0.0,Stationary
0.22000,0,-22.464,0.000,28.575,2568.5,Sliding
0.22000,1,635.000,0.000,28.575,0.0,Stationary
0.22500,0,-9.646,0.000,28.575,2558.7,Sliding
0.22500,1,635.000,0.000,28.575,0.0,Stationary
0.23000,0,3.123,0.000,28.575,2548.9,Sliding
0.23000,1,635.000,0.000,28.575,0.0,Stationary
0.23500,0,15.843,0.000,28.575,2539.1,Sliding
0.23500,1,635.000,0.000,28.575,0.0,Stationary
0.24000,0,28.514,0.000,28.575,2529.3,Sliding
0.24000,1,635.000,0.000,28.575,0.0,Stationary
0.24500,0,41.136,0.000,28.575,2519.5,Sliding
0.24500,1,635.000,0.000,28.575,0.0,Stationary
0.25000,0,53.708,0.000,28.575,2509.7,Sliding
0.25000,1,635.000,0.000,28.575,0.0,Stationary
0.25500,0,66.232,0.000,28.575,2499.9,Sliding
0.25500,1,635.000,0.000,28.575,0.0,Stationary
0.26000,0,78.707,0.000,28.575,2490.1,Sliding
0.26000,1,635.000,0.000,28.575,0.0,Stationary
0.26500,0,91.133,0.000,28.575,2480.2,Sliding
0.26500,1,635.000,0.000,28.575,0.0,Stationary
0.27000,0,103.510,0.000,28.575,2470.4,Sliding
0.27000,1,635.000,0.000,28.575,0.0,Stationary
0.27500,0,115.837,0.000,28.575,2460.6,Sliding
0.27500,1,635.000,0.000,28.575,0.0,Stationary
0.28000,0,128.116,0.000,28.575,2450.8,Sliding
0.28000,1,635.000,0.000,28.575,0.0,Stationary
0.28500,0,140.345,0.000,28.575,2441.0,Sliding
0.28500,1,635.000,0.000,28.575,0.0,Stationary
0.29000,0,152.526,0.000,28.575,2431.2,Sliding
0.29000,1,635.000,0.000,28.575,0.0,Stationary
0.29500,0,164.658,0.000,28.575,2421.4,Sliding
0.29500,1,635.000,0.000,28.575,0.0,Stationary
0.30000,0,176.740,0.000,28.575,2411.6,Sliding
0.30000,1,635.000,0.000,28.575,0.0,Stationary
0.30500,0,188.774,0.000,28.575,2401.8,Sliding
0.30500,1,635.000,0.000,28.575,0.0,Stationary
0.31000,0,200.758,0.000,28.575,2392.0,Sliding
0.31000,1,635.000,0.000,28.575,0.0,Stationary
0.31500,0,212.694,0.000,28.575,2382.2,Sliding
0.31500,1,635.000,0.000,28.575,0.0,Stationary
0.32000,0,224.580,0.000,28.575,2372.4,Sliding
0.32000,1,635.000,0.000,28.575,0.0,Stationary
0.32500,0,236.417,0.000,28.575,2362.6,Sliding
0.32500,1,635.000,0.000,28.575,0.0,Stationary
0.33000,0,248.206,0.000,28.575,2352.8,Sliding
0.33000,1,635.000,0.000,28.575,0.0,Stationary
0.33500,0,259.945,0.000,28.575,2343.0,Sliding
0.33500,1,635.000,0.000,28.575,0.0,Stationary
0.34000,0,271.635,0.000,28.575,2333.1,Sliding
0.34000,1,635.000,0.000,28.575,0.0,Stationary
0.34500,0,283.276,0.000,28.575,2323.3,Sliding
0.34500,1,635.000,0.000,28.575,0.0,Stationary
0.35000,0,294.869,0.000,28.575,2313.5,Sliding
0.35000,1,635.000,0.000,28.575,0.0,Stationary
0.35500,0,306.412,0.000,28.575,2303.7,Sliding
0.35500,1,635.000,0.000,28.575,0.0,Stationary
0.36000,0,317.906,0.000,28.575,2293.9,Sliding
0.36000,1,635.000,0.000,28.575,0.0,Stationary
0.36500,0,329.351,0.000,28.575,2284.1,Sliding
0.36500,1,635.000,0.000,28.575,0.0,Stationary
0.37000,0,340.747,0.000,28.575,2274.3,Sliding
0.37000,1,635.000,0.000,28.575,0.0,Stationary
0.37500,0,352.094,0.000,28.575,2264.5,Sliding
0.37500,1,635.000,0.000,28.575,0.0,Stationary
0.38000,0,363.392,0.000,28.575,2254.7,Sliding
0.38000,1,635.000,0.000,28.575,0.0,Stationary
0.38500,0,374.641,0.000,28.575,2244.9,Sliding
0.38500,1,635.000,0.000,28.575,0.0,Stationary
0.39000,0,385.841,0.000,28.575,2235.1,Sliding
0.39000,1,635.000,0.000,28.575,0.0,Stationary
0.39500,0,396.992,0.000,28.575,2225.3,Sliding
0.39500,1,635.000,0.000,28.575,0.0,Stationary
0.40000,0,408.094,0.000,28.575,2215.5,Sliding
0.40000,1,635.000,0.000,28.575,0.0,Stationary
0.40500,0,419.146,0.000,28.575,2205.7,Sliding
0.40500,1,635.000,0.000,28.575,0.0,Stationary
0.41000,0,430.150,0.000,28.575,2195.9,Sliding
0.41000,1,635.000,0.000,28.575,0.0,Stationary
0.41500,0,441.105,0.000,28.575,2186.0,Sliding
0.41500,1,635.000,0.000,28.575,0.0,Stationary
0.42000,0,452.011,0.000,28.575,2176.2,Sliding
0.42000,1,635.000,0.000,28.575,0.0,Stationary
0.42500,0,462.867,0.000,28.575,2166.4,Sliding
0.42500,1,635.000,0.000,28.575,0.0,Stationary
0.43000,0,473.675,0.000,28.575,2156.6,Sliding
0.43000,1,635.000,0.000,28.575,0.0,Stationary
0.43500,0,484.434,0.000,28.575,2146.8,Sliding
0.43500,1,635.000,0.000,28.575,0.0,Stationary
0.44000,0,495.143,0.000,28.575,2137.0,Sliding
0.44000,1,635.000,0.000,28.575,0.0,Stationary
0.44500,0,505.804,0.000,28.575,2127.2,Sliding
0.44500,1,635.000,0.000,28.575,0.0,Stationary
0.45000,0,516.415,0.000,28.575,2117.4,Sliding
0.45000,1,635.000,0.000,28.575,0.0,Stationary
0.45500,0,526.978,0.000,28.575,2107.6,Sliding
0.45500,1,635.000,0.000,28.575,0.0,Stationary
0.46000,0,537.491,0.000,28.575,2097.8,Sliding
0.46000,1,635.000,0.000,28.575,0.0,Stationary
0.46500,0,547.956,0.000,28.575,2088.0,Sliding
0.46500,1,635.000,0.000,28.575,0.0,Stationary
0.47000,0,558.371,0.000,28.575,2078.2,Sliding
0.47000,1,635.000,0.000,28.575,0.0,Stationary
0.47500,0,568.737,0.000,28.575,2068.4,Sliding
0.47500,1,635.000,0.000,28.575,0.0,Stationary
0.48000,0,576.080,0.000,28.647,66.2,Airborne
0.48000,1,637.977,0.000,28.703,2011.5,Airborne
0.48500,0,576.338,0.000,28.732,52.1,Airborne
0.48500,1,648.027,0.000,28.974,2010.2,Airborne
0.49000,0,576.595,0.000,28.577,61.2,Airborne
0.49000,1,658.076,0.000,29.001,2010.0,Airborne
0.49500,0,576.853,0.000,28.620,53.9,Airborne
0.49500,1,668.126,0.000,28.782,2011.1,Airborne
0.50000,0,577.111,0.000,28.589,52.7,Airborne
0.50000,1,678.176,0.000,28.682,2010.2,Airborne
0.50500,0,577.368,0.000,28.576,51.6,Airborne
0.50500,1,688.225,0.000,28.720,2010.0,Airborne
0.51000,0,577.618,0.000,28.575,45.8,Sliding
0.51000,1,698.275,0.000,28.604,2010.1,Airborne
0.51500,0,577.822,0.000,28.575,36.0,Sliding
0.51500,1,708.325,0.000,28.600,2010.1,Airborne
0.52000,0,577.978,0.000,28.575,26.2,Sliding
0.52000,1,718.374,0.000,28.575,2010.0,Airborne
0.52500,0,578.084,0.000,28.575,16.4,Sliding
0.52500,1,728.424,0.000,28.575,2009.9,Airborne
0.53000,0,578.142,0.000,28.575,6.6,Sliding
0.53000,1,738.459,0.000,28.575,2002.3,Sliding
0.53500,0,578.150,0.000,28.575,3.2,Sliding
0.53500,1,748.446,0.000,28.575,1992.5,Sliding
0.54000,0,578.110,0.000,28.575,13.0,Sliding
0.54000,1,758.384,0.000,28.575,1982.7,Sliding
0.54500,0,578.020,0.000,28.575,22.8,Sliding
0.54500,1,768.273,0.000,28.575,1972.9,Sliding
0.55000,0,577.881,0.000,28.575,32.6,Sliding
0.55000,1,778.113,0.000,28.575,1963.1,Sliding
0.55500,0,577.694,0.000,28.575,42.4,Sliding
0.55500,1,787.904,0.000,28.575,1953.3,Sliding
0.56000,0,577.457,0.000,28.575,52.2,Sliding
0.56000,1,797.646,0.000,28.575,1943.5,Sliding
0.56500,0,577.171,0.000,28.575,62.1,Sliding
0.56500,1,807.339,0.000,28.575,1933.7,Sliding
0.57000,0,576.837,0.000,28.575,71.9,Sliding
