seq,t,group,kind,ball,detail
0,0.054628,1,slide_to_roll,0,
1,0.393092,2,ball_ball,0,1
2,0.393092,3,kick,1,Landing
3,0.398139,4,kick,1,Landing
4,0.401167,5,kick,1,Landing
5,0.401504,6,kick,0,Landing
6,0.402984,7,kick,1,Landing
7,0.404074,8,kick,1,Landing
8,0.404728,9,kick,1,Landing
9,0.405121,10,kick,1,Landing
10,0.405356,11,kick,1,Landing
11,0.405497,12,kick,1,Landing
12,0.405582,13,kick,1,Landing
13,0.405633,14,kick,1,Landing
14,0.405664,15,kick,1,Landing
15,0.405682,16,kick,1,Landing
16,0.405693,17,kick,1,Landing
17,0.405699,18,kick,1,Landing
18,0.405703,19,kick,1,Landing
19,0.405706,20,kick,1,Landing
20,0.405707,21,kick,1,Landing
21,0.405708,22,kick,1,Landing
22,0.405709,23,kick,1,Landing
23,0.405709,24,kick,1,Landing
24,0.405709,25,kick,1,Landing
25,0.405709,26,kick,1,Landing
26,0.405709,27,kick,1,Landing
27,0.405709,28,kick,1,Landing
28,0.405709,29,kick,1,Landing
29,0.405709,30,kick,1,Landing
30,0.405709,31,kick,1,Landing
31,0.405709,32,kick,1,Landing
32,0.405709,33,kick,1,Landing
33,0.405709,34,kick,1,Landing
34,0.405709,35,kick,1,Landing
35,0.405709,36,kick,1,Landing
36,0.405709,37,kick,1,Landing
37,0.406550,39,kick,0,Landing
38,0.409579,40,kick,0,Landing
39,0.411395,41,kick,0,Landing
40,0.412486,42,kick,0,Landing
41,0.413140,43,kick,0,Landing
42,0.413532,44,kick,0,Landing
43,0.413767,45,kick,0,Landing
44,0.413909,46,kick,0,Landing
45,0.413994,47,kick,0,Landing
46,0.414044,48,kick,0,Landing
47,0.414075,49,kick,0,Landing
48,0.414093,50,kick,0,Landing
49,0.414104,51,kick,0,Landing
50,0.414111,52,kick,0,Landing
51,0.414115,53,kick,0,Landing
52,0.414117,54,kick,0,Landing
53,0.414119,55,kick,0,Landing
54,0.414119,56,kick,0,Landing
55,0.414120,57,kick,0,Landing
56,0.414120,58,kick,0,Landing
57,0.414120,59,kick,0,Landing
58,0.414121,60,kick,0,Landing
59,0.414121,61,kick,0,Landing
60,0.414121,62,kick,0,Landing
61,0.414121,63,kick,0,Landing
62,0.414121,64,kick,0,Landing
63,0.414121,65,kick,0,Landing
64,0.414121,66,kick,0,Landing
65,0.414121,67,kick,0,Landing
66,0.414121,68,kick,0,Landing
67,0.414121,69,kick,0,Landing
68,0.414121,70,kick,0,Landing
69,0.414121,71,kick,0,Landing
70,0.608944,73,rail_contact,1,foot_short
71,0.634974,74,kick,1,Landing
72,0.650592,75,kick,1,Landing
73,0.659962,76,kick,1,Landing
74,0.665585,77,kick,1,Landing
75,0.668958,78,kick,1,Landing
76,0.670982,79,kick,1,Landing
77,0.672196,80,kick,1,Landing
78,0.672925,81,kick,1,Landing
79,0.673362,82,kick,1,Landing
80,0.673625,83,kick,1,Landing
81,0.673782,84,kick,1,Landing
82,0.673876,85,kick,1,Landing
83,0.673933,86,kick,1,Landing
84,0.673967,87,kick,1,Landing
85,0.673988,88,kick,1,Landing
86,0.674000,89,kick,1,Landing
87,0.674007,90,kick,1,Landing
88,0.674011,91,kick,1,Landing
89,0.674014,92,kick,1,Landing
90,0.674016,93,kick,1,Landing
91,0.674017,94,kick,1,Landing
92,0.674017,95,kick,1,Landing
93,0.674018,96,kick,1,Landing
94,0.674018,97,kick,1,Landing
95,0.674018,98,kick,1,Landing
96,0.674018,99,kick,1,Landing
97,0.674018,100,kick,1,Landing
98,0.674018,101,kick,1,Landing
99,0.674018,102,kick,1,Landing
100,0.674018,103,kick,1,Landing
101,0.674018,104,kick,1,Landing
102,0.674018,105,kick,1,Landing
103,0.674018,106,kick,1,Landing
104,0.674018,107,kick,1,Landing
105,0.674018,108,kick,1,Landing
106,0.674018,109,kick,1,Landing
107,0.828536,111,ball_ball,0,1
108,0.828536,112,kick,1,Landing
109,0.841743,113,kick,1,Landing
110,0.849668,114,kick,1,Landing
111,0.850548,115,kick,0,Landing
112,0.854422,116,kick,1,Landing
113,0.857275,117,kick,1,Landing
114,0.858987,118,kick,1,Landing
115,0.860013,119,kick,1,Landing
116,0.860630,120,kick,1,Landing
117,0.860999,121,kick,1,Landing
118,0.861221,122,kick,1,Landing
119,0.861354,123,kick,1,Landing
120,0.861434,124,kick,1,Landing
121,0.861482,125,kick,1,Landing
122,0.861511,126,kick,1,Landing
123,0.861528,127,kick,1,Landing
124,0.861538,128,kick,1,Landing
125,0.861545,129,kick,1,Landing
126,0.861548,130,kick,1,Landing
127,0.861551,131,kick,1,Landing
128,0.861552,132,kick,1,Landing
129,0.861553,133,kick,1,Landing
130,0.861553,134,kick,1,Landing
131,0.861554,135,kick,1,Landing
132,0.861554,136,kick,1,Landing
133,0.861554,137,kick,1,Landing
134,0.861554,138,kick,1,Landing
135,0.861554,139,kick,1,Landing
136,0.861554,140,kick,1,Landing
137,0.861554,141,kick,1,Landing
138,0.861554,142,kick,1,Landing
139,0.861554,143,kick,1,Landing
140,0.861554,144,kick,1,Landing
141,0.861554,145,kick,1,Landing
142,0.861554,146,kick,1,Landing
143,0.861554,147,kick,1,Landing
144,0.861554,148,kick,1,Landing
145,0.863755,150,kick,0,Landing
146,0.871679,151,kick,0,Landing
147,0.876434,152,kick,0,Landing
148,0.879287,153,kick,0,Landing
149,0.880998,154,kick,0,Landing
150,0.882025,155,kick,0,Landing
151,0.882641,156,kick,0,Landing
152,0.883011,157,kick,0,Landing
153,0.883233,158,kick,0,Landing
154,0.883366,159,kick,0,Landing
155,0.883446,160,kick,0,Landing
156,0.883494,161,kick,0,Landing
157,0.883523,162,kick,0,Landing
158,0.883540,163,kick,0,Landing
159,0.883550,164,kick,0,Landing
160,0.883556,165,kick,0,Landing
161,0.883560,166,kick,0,Landing
162,0.883562,167,kick,0,Landing
163,0.883564,168,kick,0,Landing
164,0.883564,169,kick,0,Landing
165,0.883565,170,kick,0,Landing
