t,ball,x_mm,y_mm,z_mm,v_mm_s,mode
0.00000,0,-635.000,0.000,28.575,3000.0,Sliding
0.00000,1,635.000,0.000,28.575,0.0,Stationary
0.00500,0,-619.975,0.000,28.575,3009.8,Sliding
0.00500,1,635.000,0.000,28.575,0.0,Stationary
0.01000,0,-604.902,0.000,28.575,3019.6,Sliding
0.01000,1,635.000,0.000,28.575,0.0,Stationary
0.01500,0,-589.779,0.000,28.575,3029.4,Sliding
0.01500,1,635.000,0.000,28.575,0.0,Stationary
0.02000,0,-574.608,0.000,28.575,3039.2,Sliding
0.02000,1,635.000,0.000,28.575,0.0,Stationary
0.02500,0,-559.387,0.000,28.575,3049.0,Sliding
0.02500,1,635.000,0.000,28.575,0.0,Stationary
0.03000,0,-544.117,0.000,28.575,3058.8,Sliding
0.03000,1,635.000,0.000,28.575,0.0,Stationary
0.03500,0,-528.799,0.000,28.575,3068.6,Sliding
0.03500,1,635.000,0.000,28.575,0.0,Stationary
0.04000,0,-513.431,0.000,28.575,3078.5,Sliding
0.04000,1,635.000,0.000,28.575,0.0,Stationary
0.04500,0,-498.014,0.000,28.575,3088.3,Sliding
0.04500,1,635.000,0.000,28.575,0.0,Stationary
0.05000,0,-482.548,0.000,28.575,3098.1,Sliding
0.05000,1,635.000,0.000,28.575,0.0,Stationary
0.05500,0,-467.034,0.000,28.575,3107.1,Rolling
0.05500,1,635.000,0.000,28.575,0.0,Stationary
0.06000,0,-451.499,0.000,28.575,3106.6,Rolling
0.06000,1,635.000,0.000,28.575,0.0,Stationary
0.06500,0,-435.967,0.000,28.575,3106.1,Rolling
0.06500,1,635.000,0.000,28.575,0.0,Stationary
0.07000,0,-420.438,0.000,28.575,3105.6,Rolling
0.07000,1,635.000,0.000,28.575,0.0,Stationary
0.07500,0,-404.911,0.000,28.575,3105.1,Rolling
0.07500,1,635.000,0.000,28.575,0.0,Stationary
0.08000,0,-389.387,0.000,28.575,3104.7,Rolling
0.08000,1,635.000,0.000,28.575,0.0,Stationary
0.08500,0,-373.865,0.000,28.575,3104.2,Rolling
0.08500,1,635.000,0.000,28.575,0.0,Stationary
0.09000,0,-358.345,0.000,28.575,3103.7,Rolling
0.09000,1,635.000,0.000,28.575,0.0,Stationary
0.09500,0,-342.828,0.000,28.575,3103.2,Rolling
0.09500,1,635.000,0.000,28.575,0.0,Stationary
0.10000,0,-327.313,0.000,28.575,3102.7,Rolling
0.10000,1,635.000,0.000,28.575,0.0,Stationary
0.10500,0,-311.801,0.000,28.575,3102.2,Rolling
0.10500,1,635.000,0.000,28.575,0.0,Stationary
0.11000,0,-296.291,0.000,28.575,3101.7,Rolling
0.11000,1,635.000,0.000,28.575,0.0,Stationary
0.11500,0,-280.784,0.000,28.575,3101.2,Rolling
0.11500,1,635.000,0.000,28.575,0.0,Stationary
0.12000,0,-265.279,0.000,28.575,3100.7,Rolling
0.12000,1,635.000,0.000,28.575,0.0,Stationary
0.12500,0,-249.776,0.000,28.575,3100.2,Rolling
0.12500,1,635.000,0.000,28.575,0.0,Stationary
0.13000,0,-234.276,0.000,28.575,3099.8,Rolling
0.13000,1,635.000,0.000,28.575,0.0,Stationary
0.13500,0,-218.779,0.000,28.575,3099.3,Rolling
0.13500,1,635.000,0.000,28.575,0.0,Stationary
0.14000,0,-203.284,0.000,28.575,3098.8,Rolling
0.14000,1,635.000,0.000,28.575,0.0,Stationary
0.14500,0,-187.791,0.000,28.575,3098.3,Rolling
0.14500,1,635.000,0.000,28.575,0.0,Stationary
0.15000,0,-172.301,0.000,28.575,3097.8,Rolling
0.15000,1,635.000,0.000,28.575,0.0,Stationary
0.15500,0,-156.813,0.000,28.575,3097.3,Rolling
0.15500,1,635.000,0.000,28.575,0.0,Stationary
0.16000,0,-141.328,0.000,28.575,3096.8,Rolling
0.16000,1,635.000,0.000,28.575,0.0,Stationary
0.16500,0,-125.845,0.000,28.575,3096.3,Rolling
0.16500,1,635.000,0.000,28.575,0.0,Stationary
0.17000,0,-110.365,0.000,28.575,3095.8,Rolling
0.17000,1,635.000,0.000,28.575,0.0,Stationary
0.17500,0,-94.887,0.000,28.575,3095.3,Rolling
0.17500,1,635.000,0.000,28.575,0.0,Stationary
0.18000,0,-79.411,0.000,28.575,3094.8,Rolling
0.18000,1,635.000,0.000,28.575,0.0,Stationary
0.18500,0,-63.938,0.000,28.575,3094.4,Rolling
0.18500,1,635.000,0.000,28.575,0.0,Stationary
0.19000,0,-48.468,0.000,28.575,3093.9,Rolling
0.19000,1,635.000,0.000,28.575,0.0,Stationary
0.19500,0,-33.000,0.000,28.575,3093.4,Rolling
0.19500,1,635.000,0.000,28.575,0.0,Stationary
0.20000,0,-17.534,0.000,28.575,3092.9,Rolling
0.20000,1,635.000,0.000,28.575,0.0,Stationary
0.20500,0,-2.071,0.000,28.575,3092.4,Rolling
0.20500,1,635.000,0.000,28.575,0.0,Stationary
0.21000,0,13.390,0.000,28.575,3091.9,Rolling
0.21000,1,635.000,0.000,28.575,0.0,Stationary
0.21500,0,28.848,0.000,28.575,3091.4,Rolling
0.21500,1,635.000,0.000,28.575,0.0,Stationary
0.22000,0,44.304,0.000,28.575,3090.9,Rolling
0.22000,1,635.000,0.000,28.575,0.0,Stationary
0.22500,0,59.757,0.000,28.575,3090.4,Rolling
0.22500,1,635.000,0.000,28.575,0.0,Stationary
0.23000,0,75.208,0.000,28.575,3089.9,Rolling
0.23000,1,635.000,0.000,28.575,0.0,Stationary
0.23500,0,90.657,0.000,28.575,3089.5,Rolling
0.23500,1,635.000,0.000,28.575,0.0,Stationary
0.24000,0,106.103,0.000,28.575,3089.0,Rolling
0.24000,1,635.000,0.000,28.575,0.0,Stationary
0.24500,0,121.546,0.000,28.575,3088.5,Rolling
0.24500,1,635.000,0.000,28.575,0.0,Stationary
0.25000,0,136.988,0.000,28.575,3088.0,Rolling
0.25000,1,635.000,0.000,28.575,0.0,Stationary
0.25500,0,152.426,0.000,28.575,3087.5,Rolling
0.25500,1,635.000,0.000,28.575,0.0,Stationary
0.26000,0,167.863,0.000,28.575,3087.0,Rolling
0.26000,1,635.000,0.000,28.575,0.0,Stationary
0.26500,0,183.296,0.000,28.575,3086.5,Rolling
0.26500,1,635.000,0.000,28.575,0.0,Stationary
0.27000,0,198.728,0.000,28.575,3086.0,Rolling
0.27000,1,635.000,0.000,28.575,0.0,Stationary
0.27500,0,214.157,0.000,28.575,3085.5,Rolling
0.27500,1,635.000,0.000,28.575,0.0,Stationary
0.28000,0,229.583,0.000,28.575,3085.0,Rolling
0.28000,1,635.000,0.000,28.575,0.0,Stationary
0.28500,0,245.007,0.000,28.575,3084.6,Rolling
0.28500,1,635.000,0.000,28.575,0.0,Stationary
0.29000,0,260.428,0.000,28.575,3084.1,Rolling
0.29000,1,635.000,0.000,28.575,0.0,Stationary
0.29500,0,275.848,0.000,28.575,3083.6,Rolling
0.29500,1,635.000,0.000,28.575,0.0,Stationary
0.30000,0,291.264,0.000,28.575,3083.1,Rolling
0.30000,1,635.000,0.000,28.575,0.0,Stationary
0.30500,0,306.678,0.000,28.575,3082.6,Rolling
0.30500,1,635.000,0.000,28.575,0.0,Stationary
0.31000,0,322.090,0.000,28.575,3082.1,Rolling
0.31000,1,635.000,0.000,28.575,0.0,Stationary
0.31500,0,337.499,0.000,28.575,3081.6,Rolling
0.31500,1,635.000,0.000,28.575,0.0,Stationary
0.32000,0,352.906,0.000,28.575,3081.1,Rolling
0.32000,1,635.000,0.000,28.575,0.0,Stationary
0.32500,0,368.311,0.000,28.575,3080.6,Rolling
0.32500,1,635.000,0.000,28.575,0.0,Stationary
0.33000,0,383.712,0.000,28.575,3080.1,Rolling
0.33000,1,635.000,0.000,28.575,0.0,Stationary
0.33500,0,399.112,0.000,28.575,3079.6,Rolling
0.33500,1,635.000,0.000,28.575,0.0,Stationary
0.34000,0,414.509,0.000,28.575,3079.2,Rolling
0.34000,1,635.000,0.000,28.575,0.0,Stationary
0.34500,0,429.904,0.000,28.575,3078.7,Rolling
0.34500,1,635.000,0.000,28.575,0.0,Stationary
0.35000,0,445.296,0.000,28.575,3078.2,Rolling
0.35000,1,635.000,0.000,28.575,0.0,Stationary
0.35500,0,460.685,0.000,28.575,3077.7,Rolling
0.35500,1,635.000,0.000,28.575,0.0,Stationary
0.36000,0,476.072,0.000,28.575,3077.2,Rolling
0.36000,1,635.000,0.000,28.575,0.0,Stationary
0.36500,0,491.457,0.000,28.575,3076.7,Rolling
0.36500,1,635.000,0.000,28.575,0.0,Stationary
0.37000,0,506.840,0.000,28.575,3076.2,Rolling
0.37000,1,635.000,0.000,28.575,0.0,Stationary
0.37500,0,522.219,0.000,28.575,3075.7,Rolling
0.37500,1,635.000,0.000,28.575,0.0,Stationary
0.38000,0,537.597,0.000,28.575,3075.2,Rolling
0.38000,1,635.000,0.000,28.575,0.0,Stationary
0.38500,0,552.972,0.000,28.575,3074.7,Rolling
0.38500,1,635.000,0.000,28.575,0.0,Stationary
0.39000,0,568.344,0.000,28.575,3074.3,Rolling
0.39000,1,635.000,0.000,28.575,0.0,Stationary
0.39500,0,577.997,0.000,28.636,80.1,Airborne
0.39500,1,640.718,0.000,28.604,2997.1,Airborne
0.40000,0,578.381,0.000,28.626,81.3,Airborne
0.40000,1,655.703,0.000,28.586,2997.1,Airborne
0.40500,0,578.765,0.000,28.602,77.4,Airborne
0.40500,1,670.689,0.000,28.575,2997.1,Airborne
0.41000,0,579.149,0.000,28.578,77.0,Airborne
0.41000,1,685.656,0.000,28.575,2988.7,Sliding
0.41500,0,579.534,0.000,28.575,78.6,Sliding
0.41500,1,700.575,0.000,28.575,2978.9,Sliding
0.42000,0,579.952,0.000,28.575,88.4,Sliding
0.42000,1,715.445,0.000,28.575,2969.1,Sliding
0.42500,0,580.418,0.000,28.575,98.2,Sliding
0.42500,1,730.266,0.000,28.575,2959.3,Sliding
0.43000,0,580.934,0.000,28.575,108.0,Sliding
0.43000,1,745.038,0.000,28.575,2949.5,Sliding
0.43500,0,581.498,0.000,28.575,117.8,Sliding
0.43500,1,759.761,0.000,28.575,2939.7,Sliding
0.44000,0,582.112,0.000,28.575,127.6,Sliding
0.44000,1,774.434,0.000,28.575,2929.8,Sliding
0.44500,0,582.774,0.000,28.575,137.4,Sliding
0.44500,1,789.059,0.000,28.575,2920.0,Sliding
0.45000,0,583.486,0.000,28.575,147.2,Sliding
0.45000,1,803.635,0.000,28.575,2910.2,Sliding
0.45500,0,584.246,0.000,28.575,157.0,Sliding
0.45500,1,818.161,0.000,28.575,2900.4,Sliding
0.46000,0,585.056,0.000,28.575,166.8,Sliding
0.46000,1,832.639,0.000,28.575,2890.6,Sliding
0.46500,0,585.915,0.000,28.575,176.6,Sliding
0.46500,1,847.068,0.000,28.575,2880.8,Sliding
0.47000,0,586.822,0.000,28.575,186.4,Sliding
0.47000,1,861.447,0.000,28.575,2871.0,Sliding
0.47500,0,587.779,0.000,28.575,196.3,Sliding
0.47500,1,875.778,0.000,28.575,2861.2,Sliding
0.48000,0,588.785,0.000,28.575,206.1,Sliding
0.48000,1,890.059,0.000,28.575,2851.4,Sliding
0.48500,0,589.840,0.000,28.575,215.9,Sliding
0.48500,1,904.292,0.000,28.575,2841.6,Sliding
0.49000,0,590.944,0.000,28.575,225.7,Sliding
0.49000,1,918.475,0.000,28.575,2831.8,Sliding
0.49500,0,592.096,0.000,28.575,235.5,Sliding
0.49500,1,932.609,0.000,28.575,2822.0,Sliding
0.50000,0,593.298,0.000,28.575,245.3,Sliding
0.50000,1,946.695,0.000,28.575,2812.2,Sliding
0.50500,0,594.549,0.000,28.575,255.1,Sliding
0.50500,1,960.731,0.000,28.575,2802.4,Sliding
0.51000,0,595.849,0.000,28.575,264.9,Sliding
0.51000,1,974.718,0.000,28.575,2792.6,Sliding
0.51500,0,597.198,0.000,28.575,274.7,Sliding
0.51500,1,988.657,0.000,28.575,2782.7,Sliding
0.52000,0,598.596,0.000,28.575,284.5,Sliding
0.52000,1,1002.546,0.000,28.575,2772.9,Sliding
0.52500,0,600.043,0.000,28.575,294.3,Sliding
0.52500,1,1016.386,0.000,28.575,2763.1,Sliding
0.53000,0,601.540,0.000,28.575,304.1,Sliding
0.53000,1,1030.177,0.000,28.575,2753.3,Sliding
0.53500,0,603.085,0.000,28.575,313.9,Sliding
0.53500,1,1043.919,0.000,28.575,2743.5,Sliding
0.54000,0,604.679,0.000,28.575,323.7,Sliding
0.54000,1,1057.612,0.000,28.575,2733.7,Sliding
0.54500,0,606.322,0.000,28.575,333.5,Sliding
0.54500,1,1071.256,0.000,28.575,2723.9,Sliding
0.55000,0,608.014,0.000,28.575,343.4,Sliding
0.55000,1,1084.851,0.000,28.575,2714.1,Sliding
0.55500,0,609.756,0.000,28.575,353.2,Sliding
0.55500,1,1098.397,0.000,28.575,2704.3,Sliding
0.56000,0,611.546,0.000,28.575,363.0,Sliding
0.56000,1,1111.894,0.000,28.575,2694.5,Sliding
0.56500,0,613.385,0.000,28.575,372.8,Sliding
0.56500,1,1125.342,0.000,28.575,2684.7,Sliding
